year,quarter,region,area,level_of_edu,value,unit,source
2561,Quarter 1,กรุงเทพมหานคร,ในเขตเทศบาล,Higher Education - Academic Track,82.14,Percentage,National Statistical Office of Thailand
2561,Quarter 1,กรุงเทพมหานคร,ในเขตเทศบาล,Higher Education - Vocational Track,78.71,Percentage,National Statistical Office of Thailand
2561,Quarter 1,กรุงเทพมหานคร,ในเขตเทศบาล,Higher Education - Teacher Education Track,68.94,Percentage,National Statistical Office of Thailand
2561,Quarter 1,กรุงเทพมหานคร,ในเขตเทศบาล,Other Education,0.0,Percentage,National Statistical Office of Thailand
2561,Quarter 1,กรุงเทพมหานคร,ในเขตเทศบาล,No Data,66.97,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,Total,Total,69.61,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,Total,No Education,59.29,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,Total,Below Primary Education,52.45,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,Total,Primary Education,74.31,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,Total,Lower Secondary Education,67.75,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,Total,Upper Secondary Education - General Track,71.54,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,Total,Upper Secondary Education - Vocational Track,73.48,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,Total,Upper Secondary Education - Academic Track,25.7,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,Total,Higher Education - Academic Track,83.59,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,Total,Higher Education - Vocational Track,86.05,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,Total,Higher Education - Teacher Education Track,71.93,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,Total,Other Education,95.28,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,Total,No Data,86.78,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,ในเขตเทศบาล,Total,69.12,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,ในเขตเทศบาล,No Education,62.96,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,ในเขตเทศบาล,Below Primary Education,50.2,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,ในเขตเทศบาล,Primary Education,72.47,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,ในเขตเทศบาล,Lower Secondary Education,66.77,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,ในเขตเทศบาล,Upper Secondary Education - General Track,67.09,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,ในเขตเทศบาล,Upper Secondary Education - Vocational Track,72.48,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,ในเขตเทศบาล,Upper Secondary Education - Academic Track,10.5,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,ในเขตเทศบาล,Higher Education - Academic Track,82.56,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,ในเขตเทศบาล,Higher Education - Vocational Track,85.2,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,ในเขตเทศบาล,Higher Education - Teacher Education Track,67.92,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,ในเขตเทศบาล,Other Education,94.85,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,ในเขตเทศบาล,No Data,87.14,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,นอกเขตเทศบาล,Total,70.02,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,นอกเขตเทศบาล,No Education,55.74,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,นอกเขตเทศบาล,Below Primary Education,53.83,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,นอกเขตเทศบาล,Primary Education,75.62,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,นอกเขตเทศบาล,Lower Secondary Education,68.57,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,นอกเขตเทศบาล,Upper Secondary Education - General Track,75.8,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,นอกเขตเทศบาล,Upper Secondary Education - Vocational Track,74.41,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,นอกเขตเทศบาล,Upper Secondary Education - Academic Track,61.79,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,นอกเขตเทศบาล,Higher Education - Academic Track,85.09,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,นอกเขตเทศบาล,Higher Education - Vocational Track,86.91,Percentage,National Statistical Office of Thailand
