year,quarter,region,area,level_of_edu,value,unit,source
2562,Quarter 1,ภาคเหนือ,นอกเขตเทศบาล,Higher Education - Academic Track,84.45,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคเหนือ,นอกเขตเทศบาล,Higher Education - Vocational Track,83.12,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคเหนือ,นอกเขตเทศบาล,Higher Education - Teacher Education Track,78.5,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคเหนือ,นอกเขตเทศบาล,Other Education,77.51,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคเหนือ,นอกเขตเทศบาล,No Data,100.0,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Total,61.18,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,No Education,26.05,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Below Primary Education,48.4,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Primary Education,72.9,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Lower Secondary Education,54.11,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Upper Secondary Education - General Track,68.49,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Upper Secondary Education - Vocational Track,62.04,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Upper Secondary Education - Academic Track,39.73,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Higher Education - Academic Track,86.36,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Higher Education - Vocational Track,85.36,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Higher Education - Teacher Education Track,74.08,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,Other Education,0.0,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,No Data,49.42,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Total,60.2,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,No Education,26.99,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Below Primary Education,45.83,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Primary Education,71.25,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Lower Secondary Education,49.96,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Upper Secondary Education - General Track,63.14,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Upper Secondary Education - Vocational Track,61.46,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Upper Secondary Education - Academic Track,100.0,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Higher Education - Academic Track,85.71,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Higher Education - Vocational Track,84.04,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Higher Education - Teacher Education Track,71.39,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Other Education,0.0,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,No Data,15.65,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Total,61.58,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,No Education,25.76,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Below Primary Education,49.31,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Primary Education,73.49,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Lower Secondary Education,55.64,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Upper Secondary Education - General Track,71.2,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Upper Secondary Education - Vocational Track,62.35,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Upper Secondary Education - Academic Track,0.0,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Higher Education - Academic Track,86.98,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Higher Education - Vocational Track,86.19,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Higher Education - Teacher Education Track,76.34,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Other Education,0.0,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,No Data,60.68,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,Total,Total,69.48,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,Total,No Education,43.58,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,Total,Below Primary Education,57.92,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,Total,Primary Education,75.86,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,Total,Lower Secondary Education,62.82,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,Total,Upper Secondary Education - General Track,74.05,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,Total,Upper Secondary Education - Vocational Track,70.54,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,Total,Upper Secondary Education - Academic Track,65.52,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,Total,Higher Education - Academic Track,85.97,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,Total,Higher Education - Vocational Track,86.12,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,Total,Higher Education - Teacher Education Track,71.42,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,Total,Other Education,69.35,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,Total,No Data,92.51,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,ในเขตเทศบาล,Total,67.61,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,ในเขตเทศบาล,No Education,49.12,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,ในเขตเทศบาล,Below Primary Education,55.72,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,ในเขตเทศบาล,Primary Education,72.72,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,ในเขตเทศบาล,Lower Secondary Education,58.32,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,ในเขตเทศบาล,Upper Secondary Education - General Track,68.62,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,ในเขตเทศบาล,Upper Secondary Education - Vocational Track,67.73,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,ในเขตเทศบาล,Upper Secondary Education - Academic Track,28.55,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,ในเขตเทศบาล,Higher Education - Academic Track,85.74,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,ในเขตเทศบาล,Higher Education - Vocational Track,82.99,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,ในเขตเทศบาล,Higher Education - Teacher Education Track,59.97,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,ในเขตเทศบาล,Other Education,79.35,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,ในเขตเทศบาล,No Data,89.65,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Total,70.43,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,นอกเขตเทศบาล,No Education,41.01,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Below Primary Education,58.84,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Primary Education,76.96,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Lower Secondary Education,65.06,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Upper Secondary Education - General Track,77.2,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Upper Secondary Education - Vocational Track,72.72,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Upper Secondary Education - Academic Track,100.0,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Higher Education - Academic Track,86.19,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Higher Education - Vocational Track,88.62,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Higher Education - Teacher Education Track,79.49,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,นอกเขตเทศบาล,Other Education,67.4,Percentage,National Statistical Office of Thailand
2562,Quarter 1,ภาคใต้,นอกเขตเทศบาล,No Data,96.58,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,Total,Total,66.82,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,Total,No Education,49.07,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,Total,Below Primary Education,52.36,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,Total,Primary Education,76.78,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,Total,Lower Secondary Education,61.51,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,Total,Upper Secondary Education - General Track,67.15,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,Total,Upper Secondary Education - Vocational Track,68.8,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,Total,Upper Secondary Education - Academic Track,45.97,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,Total,Higher Education - Academic Track,83.75,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,Total,Higher Education - Vocational Track,83.8,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,Total,Higher Education - Teacher Education Track,70.54,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,Total,Other Education,92.66,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,Total,No Data,85.56,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,ในเขตเทศบาล,Total,66.9,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,ในเขตเทศบาล,No Education,52.84,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,ในเขตเทศบาล,Below Primary Education,48.04,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,ในเขตเทศบาล,Primary Education,74.67,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,ในเขตเทศบาล,Lower Secondary Education,61.72,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,ในเขตเทศบาล,Upper Secondary Education - General Track,63.15,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,ในเขตเทศบาล,Upper Secondary Education - Vocational Track,68.14,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,ในเขตเทศบาล,Upper Secondary Education - Academic Track,48.12,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,ในเขตเทศบาล,Higher Education - Academic Track,83.15,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,ในเขตเทศบาล,Higher Education - Vocational Track,82.4,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,ในเขตเทศบาล,Higher Education - Teacher Education Track,65.39,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,ในเขตเทศบาล,Other Education,94.98,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,ในเขตเทศบาล,No Data,83.81,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,นอกเขตเทศบาล,Total,66.76,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,นอกเขตเทศบาล,No Education,46.64,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,นอกเขตเทศบาล,Below Primary Education,54.63,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,นอกเขตเทศบาล,Primary Education,78.16,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,นอกเขตเทศบาล,Lower Secondary Education,61.35,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,นอกเขตเทศบาล,Upper Secondary Education - General Track,71.19,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,นอกเขตเทศบาล,Upper Secondary Education - Vocational Track,69.59,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,นอกเขตเทศบาล,Upper Secondary Education - Academic Track,40.42,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,นอกเขตเทศบาล,Higher Education - Academic Track,85.14,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,นอกเขตเทศบาล,Higher Education - Vocational Track,85.42,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,นอกเขตเทศบาล,Higher Education - Teacher Education Track,76.5,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,นอกเขตเทศบาล,Other Education,89.28,Percentage,National Statistical Office of Thailand
2562,Quarter 2,Nationwide,นอกเขตเทศบาล,No Data,88.46,Percentage,National Statistical Office of Thailand
2562,Quarter 2,กรุงเทพมหานคร,ในเขตเทศบาล,Total,69.57,Percentage,National Statistical Office of Thailand
2562,Quarter 2,กรุงเทพมหานคร,ในเขตเทศบาล,No Education,50.17,Percentage,National Statistical Office of Thailand
2562,Quarter 2,กรุงเทพมหานคร,ในเขตเทศบาล,Below Primary Education,42.64,Percentage,National Statistical Office of Thailand
2562,Quarter 2,กรุงเทพมหานคร,ในเขตเทศบาล,Primary Education,75.41,Percentage,National Statistical Office of Thailand
2562,Quarter 2,กรุงเทพมหานคร,ในเขตเทศบาล,Lower Secondary Education,65.32,Percentage,National Statistical Office of Thailand
2562,Quarter 2,กรุงเทพมหานคร,ในเขตเทศบาล,Upper Secondary Education - General Track,59.78,Percentage,National Statistical Office of Thailand
2562,Quarter 2,กรุงเทพมหานคร,ในเขตเทศบาล,Upper Secondary Education - Vocational Track,67.02,Percentage,National Statistical Office of Thailand
2562,Quarter 2,กรุงเทพมหานคร,ในเขตเทศบาล,Upper Secondary Education - Academic Track,42.12,Percentage,National Statistical Office of Thailand
2562,Quarter 2,กรุงเทพมหานคร,ในเขตเทศบาล,Higher Education - Academic Track,82.45,Percentage,National Statistical Office of Thailand
2562,Quarter 2,กรุงเทพมหานคร,ในเขตเทศบาล,Higher Education - Vocational Track,82.75,Percentage,National Statistical Office of Thailand
2562,Quarter 2,กรุงเทพมหานคร,ในเขตเทศบาล,Higher Education - Teacher Education Track,67.01,Percentage,National Statistical Office of Thailand
2562,Quarter 2,กรุงเทพมหานคร,ในเขตเทศบาล,Other Education,100.0,Percentage,National Statistical Office of Thailand
2562,Quarter 2,กรุงเทพมหานคร,ในเขตเทศบาล,No Data,68.7,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,Total,Total,69.52,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,Total,No Education,58.17,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,Total,Below Primary Education,50.4,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,Total,Primary Education,75.6,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,Total,Lower Secondary Education,67.46,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,Total,Upper Secondary Education - General Track,70.3,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,Total,Upper Secondary Education - Vocational Track,73.88,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,Total,Upper Secondary Education - Academic Track,35.29,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,Total,Higher Education - Academic Track,84.12,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,Total,Higher Education - Vocational Track,84.89,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,Total,Higher Education - Teacher Education Track,67.5,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,Total,Other Education,97.51,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,Total,No Data,89.27,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,ในเขตเทศบาล,Total,68.93,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,ในเขตเทศบาล,No Education,63.73,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,ในเขตเทศบาล,Below Primary Education,46.52,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,ในเขตเทศบาล,Primary Education,73.41,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,ในเขตเทศบาล,Lower Secondary Education,66.53,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,ในเขตเทศบาล,Upper Secondary Education - General Track,67.86,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,ในเขตเทศบาล,Upper Secondary Education - Vocational Track,73.06,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,ในเขตเทศบาล,Upper Secondary Education - Academic Track,6.35,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,ในเขตเทศบาล,Higher Education - Academic Track,83.0,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,ในเขตเทศบาล,Higher Education - Vocational Track,82.69,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,ในเขตเทศบาล,Higher Education - Teacher Education Track,60.77,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,ในเขตเทศบาล,Other Education,97.82,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,ในเขตเทศบาล,No Data,88.48,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,นอกเขตเทศบาล,Total,70.03,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,นอกเขตเทศบาล,No Education,52.39,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,นอกเขตเทศบาล,Below Primary Education,52.73,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,นอกเขตเทศบาล,Primary Education,77.18,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,นอกเขตเทศบาล,Lower Secondary Education,68.23,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,นอกเขตเทศบาล,Upper Secondary Education - General Track,72.78,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,นอกเขตเทศบาล,Upper Secondary Education - Vocational Track,74.66,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,นอกเขตเทศบาล,Upper Secondary Education - Academic Track,54.29,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,นอกเขตเทศบาล,Higher Education - Academic Track,85.64,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,นอกเขตเทศบาล,Higher Education - Vocational Track,86.99,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,นอกเขตเทศบาล,Higher Education - Teacher Education Track,74.44,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,นอกเขตเทศบาล,Other Education,96.95,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคกลาง,นอกเขตเทศบาล,No Data,90.4,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,Total,Total,64.68,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,Total,No Education,50.66,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,Total,Below Primary Education,55.73,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,Total,Primary Education,77.87,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,Total,Lower Secondary Education,58.32,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,Total,Upper Secondary Education - General Track,65.98,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,Total,Upper Secondary Education - Vocational Track,65.7,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,Total,Upper Secondary Education - Academic Track,29.07,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,Total,Higher Education - Academic Track,84.63,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,Total,Higher Education - Vocational Track,80.03,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,Total,Higher Education - Teacher Education Track,70.98,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,Total,Other Education,81.2,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,Total,No Data,89.23,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,ในเขตเทศบาล,Total,62.94,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,ในเขตเทศบาล,No Education,46.82,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,ในเขตเทศบาล,Below Primary Education,53.05,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,ในเขตเทศบาล,Primary Education,77.05,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,ในเขตเทศบาล,Lower Secondary Education,52.55,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,ในเขตเทศบาล,Upper Secondary Education - General Track,58.44,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,ในเขตเทศบาล,Upper Secondary Education - Vocational Track,64.37,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,ในเขตเทศบาล,Upper Secondary Education - Academic Track,58.36,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,ในเขตเทศบาล,Higher Education - Academic Track,85.22,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,ในเขตเทศบาล,Higher Education - Vocational Track,78.28,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,ในเขตเทศบาล,Higher Education - Teacher Education Track,63.17,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,ในเขตเทศบาล,Other Education,72.76,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,ในเขตเทศบาล,No Data,81.05,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,นอกเขตเทศบาล,Total,65.62,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,นอกเขตเทศบาล,No Education,52.02,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,นอกเขตเทศบาล,Below Primary Education,56.95,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,นอกเขตเทศบาล,Primary Education,78.19,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,นอกเขตเทศบาล,Lower Secondary Education,61.15,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,นอกเขตเทศบาล,Upper Secondary Education - General Track,71.06,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,นอกเขตเทศบาล,Upper Secondary Education - Vocational Track,66.68,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,นอกเขตเทศบาล,Upper Secondary Education - Academic Track,0.0,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,นอกเขตเทศบาล,Higher Education - Academic Track,83.89,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,นอกเขตเทศบาล,Higher Education - Vocational Track,81.69,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,นอกเขตเทศบาล,Higher Education - Teacher Education Track,78.32,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,นอกเขตเทศบาล,Other Education,85.66,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคเหนือ,นอกเขตเทศบาล,No Data,100.0,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคตะวันออกเฉียงเหนือ,Total,Total,62.43,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคตะวันออกเฉียงเหนือ,Total,No Education,25.09,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคตะวันออกเฉียงเหนือ,Total,Below Primary Education,51.28,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคตะวันออกเฉียงเหนือ,Total,Primary Education,77.56,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคตะวันออกเฉียงเหนือ,Total,Lower Secondary Education,54.05,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคตะวันออกเฉียงเหนือ,Total,Upper Secondary Education - General Track,66.1,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคตะวันออกเฉียงเหนือ,Total,Upper Secondary Education - Vocational Track,60.58,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคตะวันออกเฉียงเหนือ,Total,Upper Secondary Education - Academic Track,100.0,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคตะวันออกเฉียงเหนือ,Total,Higher Education - Academic Track,84.68,Percentage,National Statistical Office of Thailand
2562,Quarter 2,ภาคตะวันออกเฉียงเหนือ,Total,Higher Education - Vocational Track,83.13,Percentage,National Statistical Office of Thailand
